id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy,cat1,cat2,cat3
184438499,Tiểu thuyết tiếng Anh: The Trials of Apollo 1 - The hidden oracle,208794,234600,11,5.0,1,4,Rick Riordan,Amazon,Bloomsbury,,Bìa mềm,400.0,,Blue Horizon Books,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,contemporary
604295,Bộ Sách Hồi Ký Lý Quang Diệu (Trọn Bộ 2 Tập),817500,817500,0,5.0,1,1,Lý Quang Diệu,Alphabooks,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa cứng,,2017-04-24,Phương Đông Books,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
272369286,[Light-Novel] Hôn Nhân Hạnh Phúc Của Tôi - Tập 2 - Tặng Kèm 2 Clipsheet + 1 Clear Card,95000,100000,5,5.0,1,10,Akumi Agitogi,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
270114297,Chàng Trai Chuyển Kiếp Và Cô Gái Thiên Tài - Tập 1 - Tặng Kèm 1 Bookmark + 2 Postcard- NNA,135000,135000,0,5.0,1,1,"Nora Kohigashi, Kina Kazuharu",Alpha Books,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,261.0,,NHBook,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
190608489,Trước Vòng Chung Kết,50000,50000,0,5.0,1,1,Không rõ,NXB Trẻ,oem,,Bìa mềm,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000.0,True,False,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
191682424,"Blind Willow, Sleeping Woman",299000,299000,0,5.0,1,9,Haruki Murakami,Penguin,Penguin,9780099512820,Bìa mềm,436.0,,Xunhasaba Thế giới Sách Ngoại văn,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,contemporary
373268,Sách The Rise Of Nine,165000,165000,0,5.0,1,0,Pittacus Lore,Không rõ,Không rõ,,,,,Không rõ,out_of_stock,0.0,False,False,False,sach-tieng-anh,fiction-literature,romance
106363037,i-Learn Smart Science 3 Activity Book,103000,103000,0,5.0,1,5,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Vietnam News Agency Publishing House,9786049909566,Bìa mềm,64.0,,Dtpbooks,available,1000.0,True,True,True,sach-tieng-anh,education-teaching,teaching-learning
115303123,"Sách summer brain quest phát triển tư duy iq cho bé - tiếng anh, 5 cuốn ( 5 - 10 tuổi )",540000,900000,40,4.0,1,8,Brain Quest,Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Nhà Xuất Bản Hà Nội,summerbrainquest,Bìa mềm,900.0,2020-07-31,Hiệu sách Gen books,available,1000.0,True,True,True,sach-tieng-anh,education-teaching,teaching-learning
150709654,i-Learn English for Math 2 Student's book 2nd edition,99000,99000,0,5.0,1,201,Không rõ,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043994896,Bìa mềm,,2023-08-01,Dtpbooks,available,1000.0,True,True,True,sach-tieng-anh,education-teaching,teaching-learning
385504,Sách tiếng Anh - Nicholas Sparks: The Lucky One,129000,129000,0,5.0,1,13,Nicholas Sparks,Hachette Book Group,Hachette Book Group,9781455508976,Paperback,400.0,2012-05-01,Foreignbooks,available,1000.0,True,False,True,sach-tieng-anh,fiction-literature,romance
366960,Sách Lên Đường Với Trái Tim Trần Trụi - Tôi Là Một Con Lừa,80000,80000,0,5.0,1,3,Nguyễn Phương Mai,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,184.0,2013-05-20,Bamboo Books,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,du-ky
5079355,Sách Bạn Gái Vs. Bạn Thời Thơ Ấu – Tập 1,93000,99000,6,5.0,1,5,Yuji Yuji,ZGroup,Không rõ,,Bìa mềm,308.0,2018-09-26,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
195774646,[tặng tấm postcard bức họa Ba Bậc Thầy] BA BẬC THẦY BALZAC * DICKENS * DOSTOEVSKY – Stefan Zweig – Người dịch Nguyễn Tuấn Bình – Bình Book - NXB Tri Thức (bìa mềm),159000,159000,0,5.0,1,4,Stefan Zweig,Công ty TNHH Bình Book,Nhà Xuất Bản Tri Thức,,Bìa mềm,388.0,,BÌNH BÁN BOOK,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
187622863,[hồi ký] KÝ ỨC THEO DÒNG ĐỜI – Phan Chánh Dưỡng - Phanbook,218000,218000,0,5.0,1,14,Không rõ,PHANBOOK,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,389.0,,FishingBook,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
276420640,Babel,447400,471000,5,5.0,1,9,...,HarperCollins Publishers,Harper Voyager,9780063021426,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,historical-fiction
273303926,"Real Estate Investing 101 From Finding Properties and Securing Mortgage Terms to REITs and Flipping Houses, an Essential Primer on How to Make Money with Real Estate",369000,369000,0,5.0,1,2,Michele Cagan,Simon & Schuster,Simon & Schuster,978-1507210574,Bìa cứng,272.0,,Nhà Sách Phương Nam,available,1000.0,True,True,True,sach-tieng-anh,reference,professions
175445564,Sách Everything you need to ace Maths sổ tay toán học,326700,594000,45,5.0,1,8,nhieu tac gia,Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Nhà Xuất Bản Lao Động,0,Bìa cứng,500.0,2021-04-29,Korichi Official,available,1000.0,True,True,True,sach-tieng-anh,education-teaching,teaching-learning
174830007,Napoléon Bonaparte - Bản Cứng Cao Cấp,590000,590000,0,5.0,1,1,Không rõ,Đông A,oem,,,,,Bamboo Books,available,1000.0,True,False,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
202961583,Triệu Dấu Chân Qua Những Cửa Ô,150400,160000,6,5.0,1,3,Nguyễn Trương Quý,Nhã Nam,Nhà Xuất Bản Phụ Nữ,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,du-ky
